327 , Sochaux , 1-0 , Guingamp
328 , Sochaux , 0-2 , Lille
329 , Sochaux , 2-0 , Lorient
330 , Sochaux , 1-3 , Lyon
331 , Sochaux , 1-1 , Marseille
332 , Sochaux , 2-2 , Monaco
333 , Sochaux , 0-2 , Montpellier
334 , Sochaux , 1-0 , Nantes
335 , Sochaux , 2-0 , Nice
336 , Sochaux , 1-1 , Paris Saint-Germain
337 , Sochaux , 0-2 , Reims
338 , Sochaux , 2-1 , Rennes
339 , Sochaux , 0-0 , Saint-Étienne
340 , Sochaux , 2-0 , Toulouse
341 , Sochaux , 2-0 , Valenciennes
342 , Toulouse , 1-1 , Ajaccio
343 , Toulouse , 1-3 , Bastia
344 , Toulouse , 1-1 , Bordeaux
345 , Toulouse , 1-1 , Evian
346 , Toulouse , 0-0 , Guingamp
347 , Toulouse , 1-2 , Lille
348 , Toulouse , 1-0 , Lorient
349 , Toulouse , 0-0 , Lyon
350 , Toulouse , 1-1 , Marseille
351 , Toulouse , 0-2 , Monaco
352 , Toulouse , 1-1 , Montpellier
353 , Toulouse , 1-1 , Nantes
354 , Toulouse , 1-0 , Nice
355 , Toulouse , 2-4 , Paris Saint-Germain
356 , Toulouse , 3-2 , Reims
357 , Toulouse , 0-5 , Rennes
358 , Toulouse , 0-0 , Saint-Étienne
359 , Toulouse , 5-1 , Sochaux
360 , Toulouse , 3-1 , Valenciennes
361 , Valenciennes , 2-3 , Ajaccio
362 , Valenciennes , 3-2 , Bastia
363 , Valenciennes , 0-1 , Bordeaux
364 , Valenciennes , 0-1 , Evian
365 , Valenciennes , 1-1 , Guingamp
366 , Valenciennes , 0-1 , Lille
367 , Valenciennes , 1-1 , Lorient
368 , Valenciennes , 1-2 , Lyon
369 , Valenciennes , 0-1 , Marseille
370 , Valenciennes , 1-2 , Monaco
371 , Valenciennes , 1-1 , Montpellier
372 , Valenciennes , 2-6 , Nantes
373 , Valenciennes , 2-1 , Nice
374 , Valenciennes , 0-1 , Paris Saint-Germain
375 , Valenciennes , 1-1 , Reims
376 , Valenciennes , 2-1 , Rennes
377 , Valenciennes , 1-3 , Saint-Étienne
378 , Valenciennes , 2-2 , Sochaux
379 , Valenciennes , 3-0 , Toulouse
shortNames:,,Home ╲ Away,Ajaccio !ACA,Bastia !BAS,Bordeaux !BOR,Evian !EVI,Guingamp !GUI,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Monaco !ASM,Montpellier !MHS,Nantes !NAN,Nice !NIC,Paris Saint-Germain !PSG,Reims !REI,Rennes !REN,Saint-Étienne !STE,Sochaux !SOC,Toulouse !TFC,Valenciennes !VAL
fullNames:,,Ajaccio,Bastia,Bordeaux,Evian,Guingamp,Lille,Lorient,Lyon,Marseille,Monaco,Montpellier,Nantes,Nice,Paris Saint-Germain,Reims,Rennes,Saint-Étienne,Sochaux,Toulouse,Valenciennes
