259 , Rayo Vallecano , 0-1 , RCD Espanyol
260 , Rayo Vallecano , 3-0 , CF Extremadura
261 , Rayo Vallecano , 2-1 , Hércules CF
262 , Rayo Vallecano , 1-0 , CD Logroñés
263 , Rayo Vallecano , 0-0 , Racing de Santander
264 , Rayo Vallecano , 1-0 , Real Madrid
265 , Rayo Vallecano , 2-2 , Real Oviedo
266 , Rayo Vallecano , 1-0 , Real Sociedad
267 , Rayo Vallecano , 2-0 , Sevilla FC
268 , Rayo Vallecano , 0-1 , Sporting de Gijón
269 , Rayo Vallecano , 1-2 , CD Tenerife
270 , Rayo Vallecano , 3-1 , Valencia CF
271 , Rayo Vallecano , 1-2 , Valladolid
272 , Rayo Vallecano , 1-1 , Zaragoza
273 , Real Madrid , 1-0 , Athletic Bilbao
274 , Real Madrid , 3-1 , Atlético Madrid
275 , Real Madrid , 2-0 , FC Barcelona
276 , Real Madrid , 2-2 , Betis
277 , Real Madrid , 4-0 , Celta de Vigo
278 , Real Madrid , 0-0 , SD Compostela
279 , Real Madrid , 3-2 , Deportivo de La Coruna
280 , Real Madrid , 2-0 , RCD Espanyol
281 , Real Madrid , 5-0 , CF Extremadura
282 , Real Madrid , 3-0 , Hércules CF
283 , Real Madrid , 0-0 , CD Logroñés
284 , Real Madrid , 2-1 , Racing de Santander
285 , Real Madrid , 1-0 , Rayo Vallecano
286 , Real Madrid , 6-1 , Real Oviedo
287 , Real Madrid , 6-1 , Real Sociedad
288 , Real Madrid , 4-2 , Sevilla FC
289 , Real Madrid , 3-1 , Sporting de Gijón
290 , Real Madrid , 0-0 , CD Tenerife
291 , Real Madrid , 4-2 , Valencia CF
292 , Real Madrid , 1-0 , Valladolid
293 , Real Madrid , 2-0 , Zaragoza
294 , Real Oviedo , 2-0 , Athletic Bilbao
295 , Real Oviedo , 4-1 , Atlético Madrid
296 , Real Oviedo , 2-4 , FC Barcelona
297 , Real Oviedo , 1-1 , Betis
298 , Real Oviedo , 2-1 , Celta de Vigo
299 , Real Oviedo , 2-2 , SD Compostela
300 , Real Oviedo , 0-1 , Deportivo de La Coruna
301 , Real Oviedo , 3-1 , RCD Espanyol
302 , Real Oviedo , 0-0 , CF Extremadura
