359 , Sporting de Gijón , 1-2 , Atlético Madrid
360 , Sporting de Gijón , 0-3 , FC Barcelona
361 , Sporting de Gijón , 2-3 , Betis
362 , Sporting de Gijón , 1-0 , Celta de Vigo
363 , Sporting de Gijón , 2-1 , SD Compostela
364 , Sporting de Gijón , 1-1 , Deportivo de La Coruña
365 , Sporting de Gijón , 2-3 , RCD Espanyol
366 , Sporting de Gijón , 3-1 , CP Mérida
367 , Sporting de Gijón , 4-2 , Racing de Santander
368 , Sporting de Gijón , 3-1 , Rayo Vallecano
369 , Sporting de Gijón , 0-0 , Real Madrid
370 , Sporting de Gijón , 0-1 , Real Oviedo
371 , Sporting de Gijón , 1-1 , Real Sociedad
372 , Sporting de Gijón , 3-2 , UD Salamanca
373 , Sporting de Gijón , 3-1 , Sevilla FC
374 , Sporting de Gijón , 0-2 , Tenerife
375 , Sporting de Gijón , 1-3 , Valencia CF
376 , Sporting de Gijón , 4-2 , Valladolid
377 , Sporting de Gijón , 4-1 , Zaragoza
378 , Tenerife , 1-3 , Albacete
379 , Tenerife , 3-2 , Athletic Bilbao
380 , Tenerife , 1-1 , Atlético Madrid
381 , Tenerife , 1-1 , FC Barcelona
382 , Tenerife , 1-2 , Betis
383 , Tenerife , 1-0 , Celta de Vigo
384 , Tenerife , 1-1 , SD Compostela
385 , Tenerife , 1-1 , Deportivo de La Coruña
386 , Tenerife , 1-4 , RCD Espanyol
387 , Tenerife , 1-0 , CP Mérida
388 , Tenerife , 2-0 , Racing de Santander
389 , Tenerife , 2-2 , Rayo Vallecano
390 , Tenerife , 3-0 , Real Madrid
391 , Tenerife , 3-3 , Real Oviedo
392 , Tenerife , 1-0 , Real Sociedad
393 , Tenerife , 4-0 , UD Salamanca
394 , Tenerife , 4-2 , Sevilla FC
395 , Tenerife , 3-0 , Sporting de Gijón
396 , Tenerife , 2-1 , Valencia CF
397 , Tenerife , 1-0 , Valladolid
398 , Tenerife , 1-2 , Zaragoza
399 , Valencia CF , 1-0 , Albacete
400 , Valencia CF , 3-1 , Athletic Bilbao
401 , Valencia CF , 0-1 , Atlético Madrid
402 , Valencia CF , 4-1 , FC Barcelona
403 , Valencia CF , 1-1 , Betis
404 , Valencia CF , 3-0 , Celta de Vigo
405 , Valencia CF , 5-2 , SD Compostela
406 , Valencia CF , 2-1 , Deportivo de La Coruña
407 , Valencia CF , 1-0 , RCD Espanyol
408 , Valencia CF , 4-1 , CP Mérida
409 , Valencia CF , 2-1 , Racing de Santander
410 , Valencia CF , 3-0 , Rayo Vallecano
411 , Valencia CF , 4-3 , Real Madrid
412 , Valencia CF , 3-1 , Real Oviedo
413 , Valencia CF , 0-1 , Real Sociedad
414 , Valencia CF , 2-0 , UD Salamanca
415 , Valencia CF , 1-0 , Sevilla FC
416 , Valencia CF , 1-0 , Sporting de Gijón
417 , Valencia CF , 2-2 , Tenerife
418 , Valencia CF , 1-0 , Valladolid
419 , Valencia CF , 0-0 , Zaragoza
420 , Valladolid , 3-0 , Albacete
421 , Valladolid , 1-1 , Athletic Bilbao
422 , Valladolid , 0-1 , Atlético Madrid
423 , Valladolid , 0-2 , FC Barcelona
424 , Valladolid , 3-1 , Betis
425 , Valladolid , 1-1 , Celta de Vigo
426 , Valladolid , 0-0 , SD Compostela
427 , Valladolid , 2-2 , Deportivo de La Coruña
428 , Valladolid , 0-0 , RCD Espanyol
429 , Valladolid , 1-1 , CP Mérida
430 , Valladolid , 3-1 , Racing de Santander
431 , Valladolid , 1-1 , Rayo Vallecano
432 , Valladolid , 0-3 , Real Madrid
433 , Valladolid , 2-2 , Real Oviedo
434 , Valladolid , 3-0 , Real Sociedad
435 , Valladolid , 1-0 , UD Salamanca
436 , Valladolid , 3-3 , Sevilla FC
437 , Valladolid , 1-0 , Sporting de Gijón
438 , Valladolid , 3-0 , Tenerife
439 , Valladolid , 2-5 , Valencia CF
440 , Valladolid , 0-0 , Zaragoza
441 , Zaragoza , 3-1 , Albacete
442 , Zaragoza , 1-0 , Athletic Bilbao
443 , Zaragoza , 0-1 , Atlético Madrid
444 , Zaragoza , 0-3 , FC Barcelona
445 , Zaragoza , 1-2 , Betis
446 , Zaragoza , 0-0 , Celta de Vigo
447 , Zaragoza , 1-0 , SD Compostela
448 , Zaragoza , 2-3 , Deportivo de La Coruña
449 , Zaragoza , 1-1 , RCD Espanyol
450 , Zaragoza , 3-1 , CP Mérida
451 , Zaragoza , 1-2 , Racing de Santander
452 , Zaragoza , 1-1 , Rayo Vallecano
453 , Zaragoza , 0-1 , Real Madrid
454 , Zaragoza , 1-0 , Real Oviedo
455 , Zaragoza , 1-2 , Real Sociedad
456 , Zaragoza , 1-1 , UD Salamanca
457 , Zaragoza , 0-1 , Sevilla FC
458 , Zaragoza , 1-1 , Sporting de Gijón
459 , Zaragoza , 0-2 , Tenerife
460 , Zaragoza , 4-1 , Valencia CF
461 , Zaragoza , 5-3 , Valladolid
shortNames:,,ALB,ATH,ATM,BAR,BET,CEL,COM,DEP,ESP,MÉR,RAC,RAY,RMA,ROV,RSO,SAL,SEV,SPG,TEN,VAL,VLD,ZAR
fullNames:,,Albacete,Athletic Bilbao,Atlético Madrid,FC Barcelona,Betis,Celta de Vigo,SD Compostela,Deportivo de La Coruña,RCD Espanyol,CP Mérida,Racing de Santander,Rayo Vallecano,Real Madrid,Real Oviedo,Real Sociedad,UD Salamanca,Sevilla FC,Sporting de Gijón,Tenerife,Valencia CF,Valladolid,Zaragoza
