356 , Villarreal , 1-0 , Oviedo
357 , Villarreal , 1-3 , Real Sociedad
358 , Villarreal , 1-1 , Valencia
359 , Villarreal , 2-1 , Valladolid
360 , Villarreal , 1-1 , Zaragoza
361 , Zaragoza , 2-2 , Athletic Bilbao
362 , Zaragoza , 3-1 , Barcelona
363 , Zaragoza , 1-1 , Celta de Vigo
364 , Zaragoza , 2-2 , Alavés
365 , Zaragoza , 2-1 , Deportivo La Coruña
366 , Zaragoza , 1-2 , Espanyol
367 , Zaragoza , 3-1 , Las Palmas
368 , Zaragoza , 1-1 , Málaga
369 , Zaragoza , 1-1 , Mallorca
370 , Zaragoza , 3-1 , Numancia
371 , Zaragoza , 4-2 , Osasuna
372 , Zaragoza , 2-0 , Racing Santander
373 , Zaragoza , 6-1 , Rayo Vallecano
374 , Zaragoza , 2-3 , Real Madrid
375 , Zaragoza , 5-2 , Oviedo
376 , Zaragoza , 1-1 , Real Sociedad
377 , Zaragoza , 1-1 , Valencia
378 , Zaragoza , 0-0 , Valladolid
379 , Zaragoza , 0-0 , Villarreal
shortNames:,,Home ╲ Away,Athletic Bilbao !ATH,Barcelona !BAR,Celta de Vigo !CEL,Alavés !ALV,Deportivo La Coruña !DEP,Espanyol !ESP,Las Palmas !LPA,Málaga !MLG,Mallorca !MLL,Numancia !NUM,Osasuna !OSA,Racing Santander !RAC,Rayo Vallecano !RVA,Real Madrid !RMA,Oviedo !ROV,Real Sociedad !RSO,Valencia !VAL,Valladolid !VLD,Villarreal !VIL,Zaragoza !ZAR
fullNames:,,Athletic Bilbao,Barcelona,Celta de Vigo,Alavés,Deportivo La Coruña,Espanyol,Las Palmas,Málaga,Mallorca,Numancia,Osasuna,Racing Santander,Rayo Vallecano,Real Madrid,Oviedo,Real Sociedad,Valencia,Valladolid,Villarreal,Zaragoza
