344 , Toulouse , 2-0 , Bordeaux
345 , Toulouse , 2-0 , Brest
346 , Toulouse , 1-0 , Caen
347 , Toulouse , 1-1 , Lens
348 , Toulouse , 1-1 , Lille
349 , Toulouse , 3-0 , Lorient
350 , Toulouse , 2-0 , Lyon
351 , Toulouse , 0-1 , Marseille
352 , Toulouse , 2-0 , Monaco
353 , Toulouse , 0-1 , Montpellier
354 , Toulouse , 1-0 , Nancy
355 , Toulouse , 1-1 , Nice
356 , Toulouse , 0-2 , Paris Saint-Germain
357 , Toulouse , 1-2 , Rennes
358 , Toulouse , 0-1 , Saint-Étienne
359 , Toulouse , 0-1 , Sochaux
360 , Toulouse , 0-0 , Valenciennes
361 , Valenciennes , 3-0 , Arles-Avignon
362 , Valenciennes , 1-1 , Auxerre
363 , Valenciennes , 2-2 , Bordeaux
364 , Valenciennes , 3-0 , Brest
365 , Valenciennes , 2-1 , Caen
366 , Valenciennes , 1-1 , Lens
367 , Valenciennes , 1-1 , Lille
368 , Valenciennes , 0-0 , Lorient
369 , Valenciennes , 2-1 , Lyon
370 , Valenciennes , 3-2 , Marseille
371 , Valenciennes , 0-0 , Monaco
372 , Valenciennes , 0-1 , Montpellier
373 , Valenciennes , 1-1 , Nancy
374 , Valenciennes , 2-1 , Nice
375 , Valenciennes , 1-2 , Paris Saint-Germain
376 , Valenciennes , 2-0 , Rennes
377 , Valenciennes , 1-1 , Saint-Étienne
378 , Valenciennes , 1-1 , Sochaux
379 , Valenciennes , 2-1 , Toulouse
shortNames:,,Home ╲ Away,Arles-Avignon !ACAA,Auxerre !AUX,Bordeaux !BOR,Brest !BRS,Caen !CAE,Lens !RCL,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Monaco !ASM,Montpellier !MHS,Nancy !NAL,Nice !NIC,Paris Saint-Germain !PSG,Rennes !REN,Saint-Étienne !STE,Sochaux !SOC,Toulouse !TFC,Valenciennes !VAL
fullNames:,,Arles-Avignon,Auxerre,Bordeaux,Brest,Caen,Lens,Lille,Lorient,Lyon,Marseille,Monaco,Montpellier,Nancy,Nice,Paris Saint-Germain,Rennes,Saint-Étienne,Sochaux,Toulouse,Valenciennes
