324 , Toulouse , 0-0 , Bastia
325 , Toulouse , 0-0 , Bordeaux
326 , Toulouse , 3-1 , Brest
327 , Toulouse , 0-0 , Evian
328 , Toulouse , 4-2 , Lille
329 , Toulouse , 0-1 , Lorient
330 , Toulouse , 3-0 , Lyon
331 , Toulouse , 0-1 , Marseille
332 , Toulouse , 2-0 , Montpellier
333 , Toulouse , 2-1 , Nancy
334 , Toulouse , 3-4 , Nice
335 , Toulouse , 0-4 , Paris Saint-Germain
336 , Toulouse , 1-1 , Reims
337 , Toulouse , 2-2 , Rennes
338 , Toulouse , 2-1 , Saint-Étienne
339 , Toulouse , 2-0 , Sochaux
340 , Toulouse , 2-2 , Troyes
341 , Toulouse , 2-2 , Valenciennes
342 , Troyes , 3-2 , Ajaccio
343 , Troyes , 0-0 , Bastia
344 , Troyes , 1-0 , Bordeaux
345 , Troyes , 2-1 , Brest
346 , Troyes , 1-0 , Evian
347 , Troyes , 1-1 , Lille
348 , Troyes , 2-2 , Lorient
349 , Troyes , 1-2 , Lyon
350 , Troyes , 1-0 , Marseille
351 , Troyes , 1-1 , Montpellier
352 , Troyes , 3-3 , Nancy
353 , Troyes , 1-1 , Nice
354 , Troyes , 0-1 , Paris Saint-Germain
355 , Troyes , 4-2 , Reims
356 , Troyes , 2-3 , Rennes
357 , Troyes , 2-2 , Saint-Étienne
358 , Troyes , 0-0 , Sochaux
359 , Troyes , 0-2 , Toulouse
360 , Troyes , 0-1 , Valenciennes
361 , Valenciennes , 3-0 , Ajaccio
362 , Valenciennes , 3-4 , Bastia
363 , Valenciennes , 0-0 , Bordeaux
364 , Valenciennes , 2-1 , Brest
365 , Valenciennes , 2-1 , Evian
366 , Valenciennes , 1-3 , Lille
367 , Valenciennes , 6-1 , Lorient
368 , Valenciennes , 0-2 , Lyon
369 , Valenciennes , 4-1 , Marseille
370 , Valenciennes , 1-1 , Montpellier
371 , Valenciennes , 0-0 , Nancy
372 , Valenciennes , 0-0 , Nice
373 , Valenciennes , 0-4 , Paris Saint-Germain
374 , Valenciennes , 1-0 , Reims
375 , Valenciennes , 4-1 , Rennes
376 , Valenciennes , 0-0 , Saint-Étienne
377 , Valenciennes , 3-1 , Sochaux
378 , Valenciennes , 0-0 , Toulouse
379 , Valenciennes , 2-1 , Troyes
shortNames:,,Home ╲ Away,Ajaccio !ACA,Bastia !BAS,Bordeaux !BOR,Brest !BRS,Evian !EVI,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Montpellier !MHS,Nancy !NAL,Nice !NIC,Paris Saint-Germain !PSG,Reims !REI,Rennes !REN,Saint-Étienne !STE,Sochaux !SOC,Toulouse !TFC,Troyes !TRO,Valenciennes !VAL
fullNames:,,Ajaccio,Bastia,Bordeaux,Brest,Evian,Lille,Lorient,Lyon,Marseille,Montpellier,Nancy,Nice,Paris Saint-Germain,Reims,Rennes,Saint-Étienne,Sochaux,Toulouse,Troyes,Valenciennes
