345 , Valladolid , 1-3 , Barcelona
346 , Valladolid , 0-2 , Betis
347 , Valladolid , 1-1 , Celta de Vigo
348 , Valladolid , 2-0 , Compostela
349 , Valladolid , 0-0 , Deportivo La Coruña
350 , Valladolid , 0-4 , Espanyol
351 , Valladolid , 2-1 , Logroñés
352 , Valladolid , 1-1 , Racing Santander
353 , Valladolid , 0-5 , Real Madrid
354 , Valladolid , 2-1 , Oviedo
355 , Valladolid , 1-1 , Real Sociedad
356 , Valladolid , 0-4 , Sevilla
357 , Valladolid , 2-0 , Sporting de Gijón
358 , Valladolid , 1-4 , Tenerife
359 , Valladolid , 2-0 , Valencia
360 , Valladolid , 2-0 , Zaragoza
361 , Zaragoza , 1-0 , Albacete
362 , Zaragoza , 1-4 , Athletic Bilbao
363 , Zaragoza , 3-1 , Atlético Madrid
364 , Zaragoza , 2-1 , Barcelona
365 , Zaragoza , 3-0 , Betis
366 , Zaragoza , 4-0 , Celta de Vigo
367 , Zaragoza , 5-3 , Compostela
368 , Zaragoza , 1-0 , Deportivo La Coruña
369 , Zaragoza , 1-0 , Espanyol
370 , Zaragoza , 3-0 , Logroñés
371 , Zaragoza , 1-1 , Racing Santander
372 , Zaragoza , 3-2 , Real Madrid
373 , Zaragoza , 2-1 , Oviedo
374 , Zaragoza , 1-1 , Real Sociedad
375 , Zaragoza , 0-1 , Sevilla
376 , Zaragoza , 3-2 , Sporting de Gijón
377 , Zaragoza , 2-2 , Tenerife
378 , Zaragoza , 2-2 , Valencia
379 , Zaragoza , 1-0 , Valladolid
shortNames:,,Home ╲ Away,Albacete !ALB,Athletic Bilbao !ATH,Atlético Madrid !ATM,Barcelona !BAR,Betis !BET,Celta de Vigo !CEL,Compostela !COM,Deportivo La Coruña !DEP,Espanyol !ESP,Logroñés !LOG,Racing Santander !RAC,Real Madrid !RMA,Oviedo !ROV,Real Sociedad !RSO,Sevilla !SEV,Sporting de Gijón !SPG,Tenerife !TEN,Valencia !VAL,Valladolid !VLD,Zaragoza !ZAR
fullNames:,,Albacete,Athletic Bilbao,Atlético Madrid,Barcelona,Betis,Celta de Vigo,Compostela,Deportivo La Coruña,Espanyol,Logroñés,Racing Santander,Real Madrid,Oviedo,Real Sociedad,Sevilla,Sporting de Gijón,Tenerife,Valencia,Valladolid,Zaragoza
